title,revenue,vote_average,vote_count
Cinco de Mayo: La Batalla,0,5.8,14
Cinderella,543514353,6.7,2374
Cinderella Man,108539911,7.3,616
Circle,0,6.0,333
Circumstance,0,7.4,23
Cirque du Freak: The Vampire's Assistant,28169671,5.5,348
Cirque du Soleil: Worlds Away,34153101,6.1,58
City By The Sea,22433915,5.7,92
City Hall,0,6.0,67
City Island,6670712,6.9,113
City of Angels,198685114,6.4,529
City of Ember,17869048,6.2,605
City of Ghosts,0,5.4,18
City of God,30641770,8.1,1814
City of Life and Death,10652498,7.6,55
Civil Brand,0,5.3,4
Clash of the Titans,232713139,5.6,2233
Class of 1984,0,6.2,66
Clay Pigeons,0,6.3,39
Clean,0,6.7,17
Clear and Present Danger,215887717,6.4,386
Cleopatra,71000000,6.7,146
Clerks,3151130,7.4,755
Clerks II,26888376,6.9,398
Click,237681299,6.0,2104
Cliffhanger,255000211,6.1,588
Clockstoppers,38793283,4.9,89
Clockwatchers,0,5.6,13
Close Encounters of the Third Kind,303788635,7.2,1098
Close Range,0,4.9,54
Closer,115505027,6.7,811
Closer to the Moon,0,6.4,13
Cloud Atlas,130482868,6.6,2977
Cloudy with a Chance of Meatballs,242988466,6.5,1747
Cloudy with a Chance of Meatballs 2,248384621,6.4,915
Cloverfield,170764026,6.4,2251
Club Dread,5001655,5.1,107
Clueless,0,6.9,803
Coach Carter,76669806,7.3,496
Coal Miner's Daughter,67182787,7.2,67
Coco Before Chanel,0,6.6,246
Code 46,0,6.2,116
Code Name: The Cleaner,10337477,4.7,78
Code of Honor,0,4.1,16
Coffee Town,0,6.7,45
Cold Mountain,173013509,6.7,533
Collateral,217764291,7.0,1451
Collateral Damage,78382433,5.5,427
College,6230276,4.8,48
Colombiana,60965854,6.5,824
Come Early Morning,0,5.9,10
Coming Home,0,6.9,49
Commando,57500000,6.4,742
Compadres,0,5.2,17
Compliance,319285,6.3,221
Con Air,224012234,6.5,1270
Conan the Barbarian,79114085,6.6,650
Conan the Destroyer,100000000,5.8,383
Concussion,50363790,7.0,823
Confessions of a Dangerous Mind,33013805,6.6,275
Confessions of a Teenage Drama Queen,29331068,5.1,221
Confidence,0,6.4,126
Congo,152022101,5.0,213
Connie and Carla,11341016,6.4,24
Conquest of the Planet of the Apes,9700000,6.1,236
Conspiracy Theory,136982834,6.5,431
Contact,171120329,7.2,1308
Contagion,137551594,6.2,1325
Containment,0,5.1,36
Contraband,63100000,6.1,770
Control,8159508,7.5,200
Conversations with Other Women,973525,6.2,38
Cool Runnings,154864401,6.8,491
Cop Land,44862187,6.6,382
Cop Out,55583804,5.3,511
Copycat,0,6.4,194
Copying Beethoven,0,6.2,42
Coraline,124596398,7.3,1386
Coriolanus,1072602,5.9,131
Corky Romano,23978402,4.1,54
Corpse Bride,117195061,7.2,1894
Cotton Comes to Harlem,0,6.7,13
Counting,0,8.3,3
Country Strong,20529194,5.9,80
Couples Retreat,171844840,5.3,588
Courage Under Fire,100860818,6.2,232
Courageous,34522221,6.8,77
Coyote Ugly,113916474,5.8,575
Cradle 2 the Grave,56489558,5.8,236
Cradle Will Rock,0,7.2,18
Crank,42931041,6.6,1151
Crank: High Voltage,34560577,5.9,861
Crash,98410061,7.2,1149
Crazy Heart,39462438,6.8,274
Crazy Stone,0,6.9,22
Crazy in Alabama,0,6.5,12
"Crazy, Stupid, Love.",142851197,7.0,2443
Crazy/Beautiful,16929123,6.6,96
Creative Control,0,5.4,25
Creature,0,4.0,21
Creed,173567581,7.3,1915
Creepshow,21028755,6.7,226
Creepshow 2,14000000,5.9,129
Cries and Whispers,0,7.8,115
Criminal,14708696,5.7,557
Criminal Activities,0,5.8,110
Crimson Tide,157387195,7.0,498
Critical Care,0,6.1,9
Crocodile Dundee,328203506,6.3,503
Crocodile Dundee II,239606210,5.5,303
Crocodile Dundee in Los Angeles,39438674,4.7,146
Crooklyn,0,6.7,31
Crossover,7000000,4.2,10
Crossroads,61141030,4.7,158
"Crouching Tiger, Hidden Dragon",213525736,7.2,927
Crowsnest,0,4.8,12
Cruel Intentions,75902208,6.6,827
Cry Freedom,0,6.9,51
Cry_Wolf,10047674,5.6,126
Crying with Laughter,0,7.0,1
Cube,501818,6.9,1069
Cure,99000,7.4,63
Curious George,69834815,6.2,106
Curse of the Golden Flower,0,6.6,203
Cursed,19294901,5.1,167
Cutthroat Island,10017322,5.7,136
Cypher,0,6.7,192
Cyrus,0,6.1,133
D-Tox,6416302,5.3,123
D.E.B.S.,0,5.6,90
DOA: Dead or Alive,480314,5.0,205
Da Sweet Blood of Jesus,0,4.1,13
Daddy Day Camp,18197398,4.4,91
Daddy Day Care,164433867,5.6,506
Daddy's Home,242786137,5.8,854
Dallas Buyers Club,55198285,7.9,2886
Damnation Alley,8720000,5.0,27
Damsels in Distress,0,5.6,67
Dance Flick,0,4.7,71
Dancer in the Dark,40031879,7.6,377
"Dancer, Texas Pop. 81",565592,10.0,1
Dances with Wolves,424208848,7.6,1046
Dancin' It's On,0,4.3,2
Dangerous Liaisons,34670720,7.0,257
Danny Collins,10835752,6.6,183
Dante's Peak,178127760,5.7,428
Dark Blue,9237470,6.5,85
Dark City,27200316,7.2,828
Dark Shadows,245527149,5.7,2320
Dark Water,25473093,5.3,274
Darkness,0,5.6,112
Darkness Falls,0,4.9,161
Darling Companion,0,5.3,22
Darling Lili,0,4.9,8
Das Boot,85000000,7.9,613
Date Movie,48548426,3.6,222
Date Night,152263880,5.9,1122
Dave Chappelle's Block Party,11718595,6.4,28
Dawn of the Crescent Moon,0,2.0,1
Dawn of the Dead,102356381,6.8,1016
Dawn of the Planet of the Apes,710644566,7.3,4410
Day of the Dead,34000000,6.9,270
Daybreakers,51416464,6.0,634
Daylight,159212469,5.8,378
Days of Heaven,0,7.6,234
Days of Thunder,157920733,5.9,353
Dazed and Confused,7993039,7.4,583
De-Lovely,0,6.3,32
Dead Like Me: Life After Death,0,5.8,65
Dead Man Down,18074539,5.9,638
Dead Man Walking,39363635,7.3,337
Dead Man on Campus,0,5.6,49
Dead Man's Shoes,0,7.2,151
Dead Poets Society,235860116,8.1,2705
Dead Snow,1984662,6.1,311
Deadfall,66351,5.6,224
Deadline - U.S.A.,0,6.9,17
Deadpool,783112979,7.4,10995
Dear Frankie,0,7.0,46
Dear John,114977104,6.6,1262
Dear Wendy,0,5.6,33
Death Becomes Her,149022650,6.3,636
Death Calls,0,0.0,0
Death Race,73762516,6.0,1175
Death Race 2000,8000000,5.9,124
Death Sentence,16974459,6.5,297
Death at a Funeral,46,6.9,497
Death to Smoochy,0,5.9,132
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,0,7.1,17
Deck the Halls,47231070,5.1,109
Deconstructing Harry,10686841,7.3,187
Decoys,0,4.7,33
Deep Blue Sea,73648228,5.6,604
Deep Impact,140464664,5.9,855
Deep Rising,11203026,6.0,154
Def Jam's How to Be a Player,13960203,5.3,8
Def-Con 4,0,2.8,10
Defendor,44462,6.5,195
"Definitely, Maybe",55447968,6.7,620
Delgo,0,5.4,15
Deliver Us from Evil,0,5.9,690
Delivery Man,51164106,6.2,551
Demonic,3387000,4.9,148
Departure,0,7.5,12
Derailed,57479076,6.1,319
Desert Blue,0,5.5,9
Desert Dancer,0,6.5,18
Desire,0,4.1,140
Desperado,25405445,6.8,881
Despicable Me,543513985,7.1,6478
Despicable Me 2,970761885,7.0,4637
Detention,0,5.7,129
Detention of the Dead,0,4.5,34
Deterrence,0,6.1,7
Detroit Rock City,4217115,6.7,100
Deuce Bigalow: European Gigolo,22400154,4.7,225
Deuce Bigalow: Male Gigolo,65535067,5.5,308
Deuces Wild,0,5.5,34
Devil,33583175,5.8,816
Devil's Due,36433975,4.4,216
Diamond Ruff,0,2.4,4
Diamonds Are Forever,116019547,6.3,553
Diary of a Mad Black Woman,0,6.4,71
Diary of a Wimpy Kid,75700498,5.9,355
Diary of a Wimpy Kid: Dog Days,77112176,6.0,223
Diary of a Wimpy Kid: Rodrick Rules,72417394,6.3,238
Diary of the Dead,5364858,5.4,190
Dick,27500000,5.7,67
Dick Tracy,103738726,5.9,251
Dickie Roberts: Former Child Star,0,5.1,64
Did You Hear About the Morgans?,85280250,5.1,276
Die Another Day,431971116,5.8,1092
Die Hard,140767956,7.5,3948
Die Hard 2,240031094,6.6,1896
Die Hard: With a Vengeance,366101666,6.9,2066
Digimon: The Movie,0,6.2,72
Dil Jo Bhi Kahey...,0,0.0,0
Diner,0,6.9,83
Dinner Rush,0,7.1,19
Dinner for Schmucks,86387857,5.5,531
Dinosaur,354248063,6.2,542
Dirty Grandpa,94073028,5.7,1406
Dirty Pretty Things,0,6.8,131
Dirty Work,0,6.5,66
Disaster Movie,14109284,3.0,240
Disclosure,214015089,5.9,210
District 9,210819611,7.3,3382
District B13,9584131,6.5,565
Disturbia,117760134,6.6,1006
Disturbing Behavior,17507368,5.5,104
Divergent,288747895,6.9,4663
Divine Secrets of the Ya-Ya Sisterhood,0,5.6,65
Django Unchained,425368238,7.8,10099
Do You Believe?,0,6.6,48
Do the Right Thing,37295445,7.6,292
Doc Holliday's Revenge,0,3.2,3
Doctor Dolittle,294456605,5.4,686
Doctor Zhivago,111858363,7.4,247
DodgeBall: A True Underdog Story,167722310,6.2,981
Dogma,30652890,6.8,823
Dogtooth,110197,6.9,332
Dogtown and Z-Boys,0,7.2,52
Dolphin Tale,95404397,6.7,163
Dolphin Tale 2,52424533,6.7,96
Dolphins and Whales: Tribes of the Ocean,7518876,8.0,3
Dom Hemingway,523511,5.8,212
Domestic Disturbance,54249294,5.4,113
Domino,22944502,6.0,444
Don Jon,0,5.9,1671
Don Juan DeMarco,22200000,6.2,183
Don McKay,0,5.4,21
Don't Be Afraid of the Dark,36993168,5.4,341
Don't Say a Word,100020092,6.0,220
Donkey Punch,0,4.5,52
Donnie Brasco,41954997,7.4,1147
Donnie Darko,1270522,7.7,3452
Donovan's Reef,6600000,6.0,30
Doogal,0,3.2,18
Doom,55987321,5.0,609
Doomsday,22211426,5.8,363
Dope,17986781,7.2,691
Double Impact,30102717,5.3,215
Double Jeopardy,177841558,6.2,278
Double Take,0,5.5,24
Doubt,50907234,7.0,435
Doug's 1st Movie,0,5.4,22
Down & Out With The Dolls,0,0.0,0
Down Terrace,10000,6.3,26
Down in the Valley,852872,5.9,63
Down to Earth,0,4.9,95
Down to You,0,4.9,70
Downfall,92180910,7.7,1037
Dr. Dolittle 2,176104344,4.9,410
Dr. No,59600000,6.9,940
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272,8.0,1442
Dracula,215862692,7.1,1056
Dracula 2000,33000337,4.6,148
Dracula Untold,215529201,6.2,2389
Dracula: Pages from a Virgin's Diary,0,6.9,8
Draft Day,28831145,6.5,304
Drag Me to Hell,90810892,6.2,966
Dragon Blade,121545703,5.9,145
Dragon Hunters,0,6.5,129
Dragon Nest: Warriors' Dawn,0,6.8,19
Dragon Wars: D-War,53587404,4.0,104
DragonHeart,115267375,6.4,535
Dragonball Evolution,0,2.9,462
Dragonfly,52322400,6.1,204
Dragonslayer,14110013,6.5,67
Dream House,38502340,5.8,391
Dream with the Fishes,0,7.7,10
Dreamcatcher,75715436,5.3,567
Dreamer: Inspired By a True Story,0,6.3,67
Dreamgirls,154937680,6.6,284
Dreaming of Joseph Lees,7,8.0,1
Dredd,41037742,6.6,1940
Dressed to Kill,31899000,6.8,157
Drillbit Taylor,0,5.5,275
Drinking Buddies,343341,6.0,356
Drive,78054825,7.4,3725
Drive Angry,28931401,5.3,600
Drive Hard,0,3.9,74
Drive Me Crazy,22593409,5.8,62
Driven,54744738,4.5,179
Driving Lessons,0,6.3,47
Driving Miss Daisy,145793296,7.0,350
Drop Dead Gorgeous,10571408,6.4,86
Drowning Mona,15427192,5.4,43
Drumline,57588485,6.2,116
Dry Spell,0,6.0,1
Dude Where's My Dog?,0,0.0,0
"Dude, Where’s My Car?",73180723,5.2,509
Dudley Do-Right,0,3.8,48
Due Date,211780824,6.2,1685
Duel in the Sun,20400000,6.2,37
Duets,0,5.5,34
Dum Maaro Dum,0,5.4,7
Duma,0,6.9,41
Dumb and Dumber,247275374,6.5,1859
Dumb and Dumber To,169837010,5.4,1127
Dumb and Dumberer: When Harry Met Lloyd,39267515,4.1,210
Dune,30925690,6.5,562
Dungeons & Dragons: Wrath of the Dragon God,0,4.8,36
Duplex,19322135,5.9,482
Duplicity,60000000,5.7,201
Dutch Kills,0,0.0,0
Dwegons,0,0.5,1
Dying of the Light,0,4.5,118
Dylan Dog: Dead of Night,4634062,4.5,139
DysFunktional Family,0,6.1,4
Dysfunctional Friends,0,5.0,4
Déjà Vu,0,8.0,1
E.T. the Extra-Terrestrial,792910554,7.3,3269
Eagle Eye,178066569,6.3,1018
Earth,528972,6.6,9
Earth to Echo,45300000,5.7,290
East Is East,28200000,6.5,59
Eastern Promises,55112356,7.2,848
Easy A,74952305,6.7,2210
Easy Money,0,6.5,63
Easy Virtue,0,6.3,108
Eat Pray Love,204594016,5.8,636
Echo Dr.,0,5.0,1
Ed Wood,5887457,7.3,630
Ed and His Dead Mother,0,5.5,12
Eddie the Eagle,46152800,7.2,661
Eddie: The Sleepwalking Cannibal,1632,6.1,30
Eden,0,5.6,19
Eden Lake,3983997,6.7,406
Edge of Darkness,74901339,6.2,487
Edge of Tomorrow,370541256,7.6,4858
Edmond,0,6.0,50
Edtv,0,5.7,166
Edward Scissorhands,53000000,7.5,3601
Eight Below,120455994,6.7,542
Eight Legged Freaks,0,5.4,295
El Mariachi,2040920,6.6,238
El Rey de Najayo,0,0.0,0
Election,0,6.7,270
Elektra,56681566,4.8,575
Elf,173398518,6.4,987
Elite Squad,0,7.8,504
Elizabeth,82150642,7.1,334
Elizabeth: The Golden Age,74237563,6.6,303
Elizabethtown,52034889,6.1,327
Ella Enchanted,27388767,5.9,437
Elling,0,7.0,51
Elmer Gantry,10400000,7.3,41
Elsa & Fred,0,6.2,31
Elysium,286140700,6.4,3439
Elza,0,0.0,0
Emma,0,7.6,38
Employee of the Month,38368909,5.3,153
Enchanted,340487652,6.6,1449
End of Days,211989043,5.5,482
End of Watch,48126384,7.2,1170
End of the Spear,0,6.1,15
Ender's Game,125537191,6.6,2303
Endless Love,34077920,6.7,542
Enemy at the Gates,96976270,7.2,999
Enemy of the State,250649836,6.7,1240
Enough,51801187,6.2,264
Enough Said,25288872,6.6,348
Enter Nowhere,0,6.5,49
Enter the Dangerous Mind,0,4.8,14
Enter the Void,754249,7.2,387
Entrapment,212404396,6.0,602
Envy,0,4.8,139
Epic,268426634,6.4,1121
Epic Movie,86865564,3.2,326
Equilibrium,5359645,6.9,1552
Eragon,249288105,4.9,967
Eraser,242295562,5.6,543
Eraserhead,7000000,7.5,485
Erin Brockovich,256271286,7.1,716
Ernest & Celestine,8109160,7.6,142
Escape Plan,122915111,6.7,1659
Escape from Alcatraz,43000000,7.2,561
Escape from L.A.,42277365,5.6,373
Escape from New York,50244700,6.9,703
Escape from Planet Earth,74597643,5.7,332
Escape from Tomorrow,0,4.8,87
Escape from the Planet of the Apes,12348905,6.3,264
Escobar: Paradise Lost,3758328,6.1,271
Eternal Sunshine of the Spotless Mind,72258126,7.9,3652
Eulogy,0,6.4,34
EuroTrip,20796847,6.5,656
Evan Almighty,173000000,5.3,1151
Eve's Bayou,0,6.1,27
Event Horizon,26673242,6.5,742
Ever After: A Cinderella Story,65705772,6.8,399
Everest,203427584,6.7,1772
Everybody's Fine,0,6.5,284
Everyone Says I Love You,0,6.5,147
Everything Must Go,2614773,6.0,208
Everything Put Together,0,5.0,2
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,18016290,6.6,215
Evil Dead,97542952,6.4,1723
Evil Dead II,5923044,7.6,742
Evil Words,0,6.9,8
Evita,141047179,5.9,120
Evolution,0,6.4,47
Ex Machina,36869414,7.6,4737
Exam,0,6.6,523
Excessive Force,1200000,4.5,10
Executive Decision,121969216,5.8,256
Exiled,0,7.0,46
Exit Wounds,79958599,5.3,110
Exodus: Gods and Kings,268031828,5.6,1921
Exorcist II: The Heretic,30749142,4.5,133
Exorcist: The Beginning,78000586,4.7,183
Exotica,0,6.5,64
Extract,10848783,5.7,192
Extraordinary Measures,15134293,6.0,89
Extreme Measures,17380126,5.7,80
Extreme Movie,0,3.9,44
Extreme Ops,10959475,5.0,28
Extremely Loud & Incredibly Close,55247881,6.9,708
Eye for an Eye,0,5.8,63
Eye of the Beholder,0,5.3,42
Eye of the Dolphin,71904,7.1,7
Eyes Wide Shut,162091208,7.1,1234
F.I.S.T.,11,6.4,29
Fabled,0,0.0,0
Face/Off,245676146,6.8,1583
Facing the Giants,10178331,6.6,64
Factory Girl,0,6.2,81
Fahrenheit 9/11,119114517,6.8,397
Failure to Launch,88715192,5.5,399
Fair Game,24188922,6.5,235
Faith Connections,0,4.2,3
Faith Like Potatoes,0,6.0,9
Faithful,9789900,4.8,4
Falcon Rising,0,5.5,71
Fame,0,5.5,135
Family Plot,7900000,6.7,86
Fantasia,83320000,7.2,808
Fantasia 2000,90874570,7.0,292
Fantastic 4: Rise of the Silver Surfer,289047763,5.4,2589
Fantastic Four,167977596,4.4,2278
Fantastic Mr. Fox,46471023,7.5,1176
Far from Heaven,29027914,6.9,144
Far from Men,0,6.6,43
Farce of the Penguins,0,3.2,13
Fascination,0,3.8,4
Fast Five,626137675,7.1,2438
Fast Times at Ridgemont High,27092880,7.0,322
Faster,23081726,6.1,568
Fat Albert,0,4.3,69
"Fat, Sick & Nearly Dead",0,7.1,47
Fatal Attraction,320145693,6.6,291
Fateless,0,6.5,28
Fear Clinic,0,4.0,42
Fear and Loathing in Las Vegas,10680275,7.2,1301
FearDotCom,18902015,3.2,105
Feast,658573,6.1,160
Felicia's Journey,0,6.6,23
Femme Fatale,16838910,6.2,142
Fetching Cody,0,6.8,6
Fever Pitch,50451307,5.9,182
Fiddler on the Roof,83304330,7.4,134
Fido,426224,6.6,135
Fifty Dead Men Walking,0,6.1,35
Fifty Shades of Black,21164799,4.3,331
Fifty Shades of Grey,571006128,5.2,3254
Fight Club,100853753,8.3,9413
Fight Valley,0,3.9,8
Fight to the Finish,0,5.2,3
Fighting Tommy Riley,0,5.3,4
Filly Brown,0,5.9,10
Final Destination,53302314,6.4,1378
Final Destination 2,90426405,5.9,1023
Final Destination 3,117719158,5.8,974
Final Destination 5,157887643,5.9,866
Final Fantasy: The Spirits Within,85131830,5.9,433
Find Me Guilty,2636637,6.5,138
Finding Forrester,80049764,7.0,302
Finding Nemo,940335536,7.6,6122
Finding Neverland,116766556,7.2,1223
Finishing The Game,0,4.9,8
Firefox,70687344,5.5,139
Fireproof,33456317,7.0,100
Firestarter,17080167,5.9,173
Firestorm,0,5.9,43
Firewall,82800000,5.6,267
First Blood,125212904,7.2,1488
First Knight,127600435,5.9,311
"First Love, Last Rites",40542,3.0,1
Fish Tank,2357852,6.9,250
Fiza,623791,6.1,7
Flags of Our Fathers,65900249,6.7,526
Flame & Citron,0,6.8,68
Flash Gordon,27107960,6.1,233
Flash of Genius,0,6.3,59
Flashdance,92921203,6.1,302
Flatliners,61489265,6.3,404
Flawless,4488529,5.9,56
Fled,17193231,5.2,47
Flicka,21000000,6.1,52
Flight,161772375,6.5,2415
Flight of the Intruder,0,5.7,31
Flight of the Phoenix,21009180,5.7,276
Flightplan,223387299,6.1,772
Flipped,1755212,7.4,418
Flipper,20080020,5.3,84
Flirting with Disaster,14702438,6.3,66
Florence Foster Jenkins,48902953,6.6,392
Flubber,177977226,5.3,695
Flushed Away,64459316,6.0,874
Fly Me to the Moon,0,5.6,194
Flyboys,17800000,6.3,271
Flying By,0,7.0,2
Flywheel,0,6.8,19
Focus,153962963,6.7,2542
Food Chains,0,7.4,8
"Food, Inc.",0,7.4,217
Foodfight!,73706,2.3,28
Fool's Gold,111231041,5.4,444
Foolish,6033999,6.3,3
Footloose,80035402,6.4,505
For Colored Girls,37000000,7.0,22
For Greater Glory - The True Story of Cristiada,9622846,6.4,35
For Love of the Game,0,6.3,88
For Your Consideration,5542025,5.9,43
For Your Eyes Only,195312802,6.3,490
"For a Good Time, Call...",1243961,5.8,110
Forbidden Kingdom,0,4.9,71
Force 10 from Navarone,7230000,6.4,91
Forget Me Not,0,5.0,66
Forgetting Sarah Marshall,105173115,6.4,1172
Forrest Gump,677945399,8.2,7927
Forsaken,0,5.8,101
Fort McCoy,0,6.3,2
Fortress,6739141,5.7,168
Forty Shades of Blue,0,6.0,2
Four Brothers,92374674,6.7,607
Four Christmases,163733697,5.3,331
Four Lions,4270000,7.0,423
Four Rooms,4300000,6.5,530
Four Single Fathers,0,0.0,0
Four Weddings and a Funeral,254700832,6.6,632
Frailty,13110448,7.0,334
Frances Ha,4069826,7.2,345
Frankenweenie,35287788,6.6,932
Frat Party,0,3.5,4
Freakonomics,103735,6.6,36
Freaky Deaky,0,4.9,18
Freaky Friday,110230332,6.0,879
Freddy Got Fingered,0,4.6,115
Freddy vs. Jason,114908830,5.8,594
Freddy's Dead: The Final Nightmare,34872033,5.1,272
Free Birds,110000000,5.7,254
Free State of Jones,25035950,6.6,428
Free Style,140987,5.8,4
Freedom,0,5.8,9
Freedom Writers,41170784,7.5,356
Freeheld,573335,7.1,164
Freeway,0,6.5,95
Freeze Frame,0,6.9,18
Frenzy,12600000,7.1,158
Frequency,68106245,7.0,462
Frida,56298474,7.3,383
Friday,28215918,7.0,503
Friday After Next,33526835,6.0,100
Friday the 13th Part 2,21722776,6.0,315
Friday the 13th Part III,36690067,5.7,254
Friday the 13th Part VI: Jason Lives,19472057,5.7,216
Friday the 13th Part VII: The New Blood,19170001,5.3,192
Friday the 13th Part VIII: Jason Takes Manhattan,14000000,4.8,191
Friday the 13th: A New Beginning,21930418,5.1,196
Friday the 13th: The Final Chapter,32980880,5.9,237
Friends with Benefits,150483765,6.5,2237
Friends with Money,13368437,5.1,128
Fright Night,24922237,6.0,603
From Dusk Till Dawn,25836616,6.9,1603
From Hell,74558115,6.6,741
From Here to Eternity,30500000,7.2,133
From Justin to Kelly,4922166,3.0,23
From Paris with Love,52826594,6.1,675
From Russia with Love,78898765,6.9,760
From a Whisper to a Scream,1400000,6.8,15
Frost/Nixon,0,7.2,328
Frozen,1274219009,7.3,5295
Frozen River,0,6.7,99
Fruitvale Station,17385830,7.3,390
Fuel,0,7.0,3
Fugly,0,5.3,2
Full Frontal,2506446,4.8,26
Fun Size,11417362,5.5,134
Fun with Dick and Jane,202026112,5.9,627
Funny Games,7938872,6.3,545
Funny Ha Ha,76901,6.3,8
Funny People,61458982,5.7,390
Fur: An Imaginary Portrait of Diane Arbus,2281089,5.8,73
Furious 7,1506249360,7.3,4176
Furry Vengeance,39340177,4.6,149
Fury,211817906,7.4,3946
Futuro Beach,0,6.4,31
G-Force,292817841,5.1,510
G.I. Jane,48169156,6.0,395
G.I. Joe: Retaliation,371876278,5.4,3025
G.I. Joe: The Rise of Cobra,302469017,5.6,1962
Gabriela,0,6.0,2
Galaxina,4865000,3.3,16
Galaxy Quest,90683916,6.9,710
Gamer,40828540,5.6,760
Gandhi,77737889,7.4,716
"Gandhi, My Father",0,6.0,2
Gangs of New York,193772504,7.1,1910
Gangster Squad,105200903,6.2,1778
Gangster's Paradise: Jerusalema,0,6.8,16
Garden State,26781723,7.1,618
Garfield,200804534,5.2,820
Garfield: A Tail of Two Kitties,141702264,5.1,464
Gattaca,12532777,7.5,1808
Gentleman's Agreement,7800000,6.8,47
Gentlemen Broncos,0,6.2,51
George Washington,0,6.4,36
George and the Dragon,0,5.0,13
George of the Jungle,0,5.4,496
Georgia Rule,0,5.6,130
Gerry,0,6.2,68
Get Carter,19412993,4.8,145
Get Hard,111811453,5.9,944
Get Him to the Greek,90029656,5.9,612
Get Low,0,6.5,100
Get Over It,0,5.5,75
Get Rich or Die Tryin',46442528,6.3,186
Get Shorty,115101622,6.4,302
Get Smart,230685453,6.0,1051
Get on Up,31911598,6.4,158
Get on the Bus,5731103,7.0,11
Getaway,10501938,4.9,246
Gettysburg,25000000,6.6,90
Ghost,505000000,6.9,1339
Ghost Dog: The Way of the Samurai,0,7.2,298
Ghost Rider,228738393,5.2,1712
Ghost Rider: Spirit of Vengeance,149217355,4.7,1135
Ghost Ship,68349884,5.3,531
Ghost Town,0,6.4,286
Ghost World,0,7.1,426
Ghostbusters,229147509,5.3,2142
Ghosts of Mars,14010832,4.8,296
Ghosts of Mississippi,0,6.2,40
Gigli,7266209,3.5,104
Girl 6,4939939,5.7,16
Girl with a Pearl Earring,31466789,6.4,377
"Girl, Interrupted",0,7.6,721
GirlHouse,0,5.2,97
Girls Gone Dead,0,3.5,14
Give Me Shelter,0,0.0,0
Gladiator,457640427,7.9,5439
Glee: The Concert Movie,18663238,6.8,79
Glengarry Glen Ross,10725228,7.5,323
Glitter,5271666,3.4,38
Glory,26828365,7.4,383
Glory Road,42647449,7.2,144
Go,28451622,7.0,196
Go for It!,0,4.6,5
Goal!: The Dream Begins,27610873,6.6,238
God's Not Dead 2,23507567,5.7,72
Goddess of Love,0,6.2,9
Gods and Generals,12923936,6.1,48
Gods and Monsters,6451628,6.8,81
Gods of Egypt,150680864,5.3,1277
Godsend,30114487,4.7,114
Godzilla 2000,10037390,5.9,43
Going the Distance,42045846,6.0,262
GoldenEye,352194034,6.6,1174
Goldfinger,124881062,7.2,987
Gone Girl,369330363,7.9,5862
Gone in Sixty Seconds,237202299,6.1,1485
Gone with the Wind,400176459,7.7,970
Good,0,6.3,29
Good Boy!,0,4.7,30
Good Deeds,0,6.2,45
Good Dick,0,6.1,34
Good Intentions,0,5.0,6
Good Kill,316472,5.9,208
Good Luck Chuck,59192128,5.5,444
"Good Morning, Vietnam",123922370,7.1,642
"Good Night, and Good Luck.",54600000,6.8,273
Good Will Hunting,225933435,7.9,2811
"Good bye, Lenin!",79384880,7.4,586
GoodFellas,46836394,8.2,3128
Goodbye Bafana,0,7.0,38
Goosebumps,158162788,6.2,995
Gory Gory Hallelujah,0,1.0,1
Gosford Park,87754044,6.8,246
Gossip,5108820,5.5,68
Gothika,141591324,5.8,629
Grabbers,0,6.0,140
Grace Unplugged,0,6.0,24
Grace of Monaco,0,5.8,195
Gracie,2955039,6.0,17
Graduation Day,0,5.0,22
Gran Torino,269958228,7.8,3086
Grand Theft Parsons,0,6.0,11
Grandma's Boy,6538177,6.6,220
Grave Encounters,0,6.1,381
Gravity,716392705,7.3,5751
Grease,181813770,7.2,1581
Green Lantern,219851172,5.1,2487
Green Room,3220371,6.7,683
Green Street Hooligans: Underground,0,5.4,33
Green Zone,94882889,6.4,717
Gremlins,153083102,6.9,1596
Gremlins 2: The New Batch,41482207,6.2,652
Gridiron Gang,41480851,6.5,206
Griff the Invisible,0,6.1,34
Grindhouse,25037897,6.8,459
Groove,0,5.6,6
Grosse Pointe Blank,28084357,6.9,275
Groundhog Day,70906973,7.4,2301
Growing Up Smith,0,7.4,7
Grown Ups,271430189,6.0,1705
Grown Ups 2,246984278,5.8,1155
Grudge Match,44907260,6.0,433
Guardians of the Galaxy,773328629,7.9,9742
Guess Who,68915888,5.5,225
Guiana 1838,0,2.8,3
Gulliver's Travels,237382724,4.9,621
Gun Shy,1631839,5.4,24
Gunless,0,6.7,27
"Guten Tag, Ramón",0,8.1,18
H.,0,6.5,4
Hachi: A Dog's Tale,47801389,7.7,1717
Hackers,7563728,6.2,398
"Hail, Caesar!",63647656,5.7,1309
Hairspray,90450008,6.5,709
Half Baked,17460020,6.4,177
Half Nelson,4911725,6.5,240
Half Past Dead,0,4.6,82
Hall Pass,83160734,5.4,611
Halloween,70000000,7.4,1035
Halloween 4: The Return of Michael Myers,17768757,5.9,209
Halloween 5: The Revenge of Michael Myers,11642254,5.2,183
Halloween II,39421467,5.1,267
